"filename", "language", "PHP", "CSS", "YAML", "JSON", "Docker", "Ignore", "JavaScript", "XML", "Markdown", "comment", "blank", "total"
"u:\Projects\Laravel Projects\URLShortener\resources\views\NewURLEmail.blade.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"u:\Projects\Laravel Projects\URLShortener\resources\views\NewUserEmail.blade.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"u:\Projects\Laravel Projects\URLShortener\resources\views\adminediturl.blade.php", "PHP", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 64
"u:\Projects\Laravel Projects\URLShortener\resources\views\adminpanel.blade.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 47
"u:\Projects\Laravel Projects\URLShortener\resources\views\components\homepageLayout.blade.php", "PHP", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 98
"u:\Projects\Laravel Projects\URLShortener\resources\views\components\initialLayout.blade.php", "PHP", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 83
"u:\Projects\Laravel Projects\URLShortener\resources\views\components\premiumLayout.blade.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 36
"u:\Projects\Laravel Projects\URLShortener\resources\views\footerpages\about.blade.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"u:\Projects\Laravel Projects\URLShortener\resources\views\footerpages\contact.blade.php", "PHP", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"u:\Projects\Laravel Projects\URLShortener\resources\views\footerpages\privacy.blade.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"u:\Projects\Laravel Projects\URLShortener\resources\views\footerpages\terms.blade.php", "PHP", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 91
"u:\Projects\Laravel Projects\URLShortener\resources\views\homepage.blade.php", "PHP", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 85
"u:\Projects\Laravel Projects\URLShortener\resources\views\landing.blade.php", "PHP", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 118
"u:\Projects\Laravel Projects\URLShortener\resources\views\livewire\admin-panel-guest-table.blade.php", "PHP", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 83
"u:\Projects\Laravel Projects\URLShortener\resources\views\livewire\admin-panel-u-r-l-table.blade.php", "PHP", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 91
